type,name,label::English,label::Swahili,label::Portuguese,hint::English,hint::Swahili,hint::Portuguese,appearance,required,relevant,read_only,constraint,constraint_message,choice_filter,calculation,repeat_count,default
calculate,other_location,,,,,,,,,,,,,,"if(selected(${Village}, 'Other') or selected(${Hamlet}, 'Other'), 'XXX', 'AAA')",,
select_one code,hamlet_code_list,Confirm that this is the hamlet code where you are.,Hakiki herufi hizi za utambulisho za kitongoji ambacho upo.,Confirme que este é o código do bairro em que você está.,,,,,yes,${other_location} != 'XXX',,,,Country=${Country} and Region=${Region} and District=${District} and Ward=${Ward} and Village=${Village} and Hamlet = ${Hamlet},,,
select_one xxx,hamlet_code_not_list,Confirm that this is the hamlet code where you are.,Hakiki herufi hizi za utambulisho za kitongoji ambacho upo.,Confirme que este é o código do bairro em que você está.,"Because the hamlet you are in is not in our database, the code will be ""XXX"". You should contact headquarters before continuing.","Kwasababu Kitongoji ulichopo hakipo kwenye Taarifa za awali, Msimbo wake utakuwa ni ""XXX"". Tafadhali wasiliana na Makao makuu kabla ya kuendelea.","Porque o bairro em que você está não está listado na nossa base de dados, o código será ""XXX"". Você deve contactar a sede antes de continuar.",,yes,${other_location} = 'XXX',,,,,,,
calculate,hamlet_code,,,,,,,,,,,,,,"if(${other_location} = 'XXX', 'XXX', ${hamlet_code_list})",,
select_one religion,religion,What is the most practiced religion in this hamlet?,"Je, ni ipi dini yenye waumini wengi zaidi katika kitongoji hiki?",Qual é a religião mais praticada neste bairro?,,,,,yes,,,,,,,,
select_one yn,religion_add_comment,Any additional comments on religion?,"Je, kuna taarifa za ziada kuhusu Dini?",Algum comentario adiconal sobre religião?,,,,,,,,,,,,,
text,religion_comments,Please write comment here:,Tafadhali andika mapendekezo hapa?,"Por favor, escreva o comentario aqui:",,,,,,"selected(${religion_add_comment}, 'Yes')",,,,,,,
end group,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
note,note_chief,### Chief section,### Sehemu ya Kiongozi/chief,### Secção do chefe,"Click ""Add group"" for every chief or leader you want to collect data on","Bonyeza ""Add group"" kwa kila kiongozi au chief ambaye unataka kukusanya taarifa zake","Clique em ""Add group"" para cada lider ou Secretário no qual você deseja coletar dados",,,,,,,,,,
begin repeat,repeat_chief,Chief or leader,Chief au Kiongozi,Lider ou Secretário,,,,,,,,,,,,,
begin group,group_chief,Chief or leader,Chief au Kiongozi,Chefe ou lider,,,,field-list,,,,,,,,,
text,chief_name,Name of chief or leader,Jina la kiongozi au chief?,Nome do Lider ou Secretário,Write 3 names,Andika Majina Matatu,,,yes,,,,,,,,
select_one chief_roles,chief_role,Role or position,Kazi au nafasi yake katika eneo husika,Papel ou Posição,,,,,yes,,,,,Country=${Country},,,
text,chief_role_other_role,Other role or position,Nyingine Taja:,Outro papel ou posição,,(Kazi au nafasi yake katika eneo husika),,,,"selected(${chief_role}, 'Other')",,,,,,,
text,chief_contact,Contact (Phone number),Namba ya simu,Contacto (Numero de Telefone),"Write 9 digits of the phone number, without the first preceeding Zero","Andika Tarakimu 9 za namba, bila Sifuri ya Mwanzo.",,numbers,yes,,,string-length(.)<=9,Phone number must be at most 9 digits. / Namba ya simu lazima iwe angalau tarakimu 9. / Numero de telefone deve ser no minimo de 9 digitos,,,,
text,chief_contact_alt,Alternate Contact Number (if applicable),Namba mbadala (Ikiwa inafaa),Número de contacto alternativo (Se aplicavel),"Write 9 digits of the phone number, without the first preceeding Zero","Andika Tarakimu 9 za namba, bila Sifuri ya Mwanzo.",,numbers,,,,string-length(.)<=9,Phone number must be at most 9 digits. / Namba ya simu lazima iwe angalau tarakimu 9. / Numero de telefone deve ser no minimo de 9 digitos,,,,
end group,,,,,,,,,,,,,,,,,
end repeat,,,,,,,,,,,,,,,,,
begin group,group_general,General information,Taarifa za Ujumla,Informaçoẽs Gerais,,,,field-list,,,,,,,,,
note,note_general,### General information Section,### Sehemu ya taarifa za ujumla,### Seção Informaçoẽs Gerais,,,,,,,,,,,,,
text,name_nearest_hf,Name of nearest health facility,Jina la kituo cha tiba cha karibu,Nome da Unidade Sanitaria mais proxima,,,,,yes,,,,,,,,
select_one hf_types or_other,type_nearest_hf,Type of nearest health facility,Aina ya kituo cha tiba cha karibu,Tipo da unidade sanitaria proxima,,,,,yes,,,,,,,,
decimal,distance_nearest_hf,Distance (kilometers) from the chief/leader's office to nearest health facility,Umbali (kwa Kilomita) kutoka ofisi ya kitongoji hadi kufika kwenye kituo cha tiba cha karibu,Distância (quilômetros) do escritório do secretário / líder à unidade sanitária mais próxima:,"If the distance is Less than 1 KM, write answer in decimal. Note 1 KM = 1000 M","Ikiwa umbali ni chini ya Kilomita Moja, andika jibu kwa decimali. Kumbuka 1 Kilomita = 1000 Mita",,,yes,,,,,,,,
integer,time_nearest_hf,Time (minutes) to walk to nearest health facility,Muda (kwa dakika) Kutembea hadi kufika kwenye kituo cha Tiba cha karibu.,Tempo (minutos) necessário para andar até a unidade sanitaria mais proxima:,"Note, 1hr = 60Mins, 2hrs = 120 Mins, 3hrs = 160 Mins","Kumbuka Saa 1 = Dakika 60, Saa 2 = Dakika 120, Saa 3 = Dakika 180 nk.",,,yes,,,,,,,,
integer,number_hh,Approximate number of households,Makisio ya idadi ya nyumba katika kitongoji hiki,Número aproximado de Agregados,,,,,yes,,,,,,,,
select_one electricity_choices,electricity,Does the hamet have electricity?,Je kitongoji hiki kina umeme?,O bairro tem energia elétrica?,,,,,yes,,,,,,,,
end group,,,,,,,,,,,,,,,,,
begin group,group_voice,Voice coverage,Chanjo ya simu,Cobertura para chamadas,,,,field-list,,,,,,,,,
select_one yndk,telecom_have_voice,Is there coverage for making phone calls (voice)?,Je kuna mtandao kwa ajili ya kupiga simu katika kitongoji hiki?,Ha cobertura de rede para chamadas de voz?,,,,,yes,,,,,,,,
select_one yndk,telecom_voice_note,Which network is available for making phone calls?,Je ni mtandao gani unapatikana kwa ajili ya kupiga simu?,Qual rede está disponível para fazer chamadas telefônicas?,,,,label,,${telecom_have_voice}='Yes',,,,,,,
select_one yndk,telecom_work_voice_vodacom,Vodacom,Vodacom,Vodacom,,,,list-nolabel,yes,${telecom_have_voice}='Yes',,,,,,,
select_one yndk,telecom_work_voice_movitel,Movitel,Movitel,Movitel,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Mozambique',,,,,,,
select_one yndk,telecom_work_voice_mcell,MCell,MCell,MCell,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Mozambique',,,,,,,
select_one yndk,telecom_work_voice_airtel,Airtel,Airtel,Airtel,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_voice_halotel,Halotel,Halotel,Halotel,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_voice_ttcl,TTCL,TTCL,TTCL,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_voice_tigo,Tigo,Tigo,Tigo,,,,list-nolabel,yes,${telecom_have_voice}='Yes' and ${Country}='Tanzania',,,,,,,
select_one telecom_choices,telecom_best_voice,What is the best network for making phone calls (voice)?,Je ni mtandao gani bora zaidi kwa ajili ya kupiga simu katika kitongoji hiki?,Qual é a melhor rede para fazer chamadas por telefone?,,,,,,${telecom_have_voice}='Yes',,,,Country=${Country},,,
end group,,,,,,,,,,,,,,,,,
begin group,group_data,Data coverage,Upatikanaji wa Data,Cobertura de rede 3g,,,,field-list,,,,,,,,,
select_one yndk,telecom_have_data,Is there coverage for data?,Je kuna mtandao kwa ajili ya kupata data (internet) katika kitongoji hiki??,Há cobertura de rede 3G?,,,,,,,,,,,,,
select_one yndk,telecom_data_note,Which network provides data service?,Ni mtandao gani unatoa huduma ya data?,Qual rede fornece serviço de dados?,,,,label,,${telecom_have_data}='Yes',,,,,,,
select_one yndk,telecom_work_data_vodacom,Vodacom,Vodacom,Vodacom,,,,list-nolabel,yes,${telecom_have_data}='Yes',,,,,,,
select_one yndk,telecom_work_data_movitel,Movitel,Movitel,Movitel,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Mozambique',,,,,,,
select_one yndk,telecom_work_data_mcell,MCell,MCell,MCell,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Mozambique',,,,,,,
select_one yndk,telecom_work_data_airtel,Airtel,Airtel,Airtel,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_data_halotel,Halotel,Halotel,Halotel,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_data_ttcl,TTCL,TTCL,TTCL,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Tanzania',,,,,,,
select_one yndk,telecom_work_data_tigo,Tigo,Tigo,Tigo,,,,list-nolabel,yes,${telecom_have_data}='Yes' and ${Country}='Tanzania',,,,,,,
select_one telecom_choices,telecom_best_data,What is the best network for data?,Je ni mtandao gani bora zaidi kwa ajili ya data (internet) katika kitongoji hiki?,Qual é a melhor rede para dados moveis?,,,,,,${telecom_have_data}='Yes',,,,Country=${Country},,,
end group,,,,,,,,,,,,,,,,,
begin group,group_meet,,,,,,,field-list,,,,,,,,,
select_one yndk,meet_tv,Do people watch Television (TV) outside in this community?,"Je, watu hutazama Televisheni (Runinga) nje ya kaya zao kwenye jamii hii?",As pessoas assistem televisão (TV) fora/nos locais publicos nesta comunidade?,,,,,yes,,,,,,,,
text,meet_where,Where do they meet?,Huwa wanakutana wapi?,Aonde elas se encontram?,"If there is more than one place, specify the place that MOST people meet. Write the name of the place, and how to reach it.","Kama zipo sehemu zaidi ya moja, Andika Sehemu wanayokutana watu wengi zaidi. Andika Jina la eneo na jinsi ya kufika hapo.",,,yes,${meet_tv}= 'Yes',,,,,,,
time,meet_when,What time do they meet?,Ni muda gani huwa wanakutana?,A que horas geralmente elas se encontram?,,,,,yes,${meet_tv}= 'Yes',,,,,,,
text,meet_which_tv,Which program do most people prefer to watch together outdoors?,"Je, ni kipindi gani watu hupendelea kutazama kwa pamoja nje ya kaya zao?",Qual programa a maioria das pessoas prefere assistir quando estão fora?,The program that most people watch,Kipindi wanachoangalia watu wengi zaidi.,,,yes,${meet_tv}= 'Yes',,,,,,,
text,meet_which_station,Which television/TV station is the programme being broadcasted from?,"Je, kipindi hicho hurushwa kutoka kwenye chaneli gani?",Em qual canal o programa tem sido transmitido?,,,,,yes,${meet_tv}= 'Yes',,,,,,,
end group,,,,,,,,,,,,,,,,,
begin group,group_market,,,,,,,field-list,,,,,,,,,
select_one yndk,market_community,Is there a market within this community?,Je kuna gulio kwenye jamii hii?,Existe algum mercado nesta comunidade?,,,,,yes,,,,,,,,
select_one market_availability_choices or_other,market_availability,Is the market available?,"Je, ni ipi ratiba ya gulio?",O mercado está disponível?,,,,,yes,${market_community}='Yes',,,,,,,
end group,,,,,,,,,,,,,,,,,
begin group,group_access,,,,,,,field-list,,,,,,,,,
select_one season,accessibility_note,"In each season, which mode of transport can be used to reach this hamlet?","Katika kila msimu, ni njia ipi inaweza kutumika kufika katika kitongoji hiki?","Em cada estação, que modo de transporte pode ser usado para chegar a esse bairro?",,,,label,,,,,,,,,
select_multiple season,accessibility_car,Car,Gari,Carro,,,,list-nolabel,yes,,,,,,,,
select_multiple season,accessibility_motorcycle,Motorcycle,Pikipiki,Motocicleta,,,,list-nolabel,yes,,,,,,,,
select_multiple season,accessibility_bicycle,Bicycle,Baiskeli,Bicicleta,,,,list-nolabel,yes,,,,,,,,
select_multiple season,accessibility_boat,Boat,Mtumbwi/boti,Barco,,,,list-nolabel,yes,,,,,,,,
select_one accessibility_types,accessibility_best_rainy,What is the best way to get to this hamlet during the rainy season?,"Je, ni njia ipi bora zaidi ilikufika katika kitongoji hiki msimu wa mvua?",Qual é a melhor maneira de chegar a esse bairro durante a estação das chuvas?,,,,,yes,,,,,,,,
select_one yn,accessibility_details_yn,Is it necessary to add more details about accessibility?,"Je, kuna haja ya kuongeza maelezo zaidi kuhusu ufikaji?",É necessário adicionar mais detlhes sobre accessibilidade?,"What is the best road to take, which shortcut to use, at what time etc.","Mfano: Ni barabara gani ya kutumika au ni ipi ya mkato, kuzungukia wapi, nyakati zipi ni bora zaidi nk.",,,yes,,,,,,,,
text,accessibility_details,Add more details about accessibility:,Ongeza maoni zaidi kuhusu ufikaji:,Adicione mais detalhes sobre acessibilidade:,,,,,yes,${accessibility_details_yn}='Yes',,,,,,,
end group,,,,,,,,,,,,,,,,,
